Team,Q1_Games,Q1_NetEff,Q2_Games,Q2_NetEff,Q3_Games,Q3_NetEff,Q4_Games,Q4_NetEff,AdjNetEff
New College (FL) Mighty Banyans,0,0.0,0,0.0,1,-24.16,1,-31.37,-27.76
Benedictine (AZ) Redhawks,0,0.0,0,0.0,0,0.0,1,-43.65,-43.65
Trinity College of Jacksonville Eagles,0,0.0,1,-32.9,0,0.0,2,-36.35,-35.2
Jamestown Jimmies,0,0.0,1,-11.96,0,0.0,0,0.0,-11.96
Earlham College Quakers,0,0.0,0,0.0,0,0.0,1,-79.36,-79.36
Rowan Profs,0,0.0,0,0.0,1,-23.23,0,0.0,-23.23
Rivier Raiders,0,0.0,0,0.0,1,-41.94,0,0.0,-41.94
IU Columbus Crimson Pride,0,0.0,0,0.0,0,0.0,1,-20.1,-20.1
Alfred State Pioneers,1,-33.95,0,0.0,0,0.0,0,0.0,-33.95
Dallas Crusaders,0,0.0,1,-38.04,1,-38.35,0,0.0,-38.19
Bluefield University Ramblin' Rams,0,0.0,0,0.0,0,0.0,1,-0.21,-0.21
Curry College Colonels,0,0.0,0,0.0,0,0.0,1,-80.7,-80.7
Brescia Bearcats,0,0.0,1,-43.3,1,-50.11,0,0.0,-46.7
Washington College (MD) Shoremen,0,0.0,0,0.0,1,-16.86,1,-51.29,-34.08
Eastern University (PA) Eagles,0,0.0,0,0.0,0,0.0,1,-41.61,-41.61
Clinton College Golden Bears,1,-59.18,0,0.0,0,0.0,0,0.0,-59.18
Our Lady Of The Lake Saints,0,0.0,0,0.0,0,0.0,1,-51.74,-51.74
Ripon Red Hawks,0,0.0,1,-17.45,0,0.0,0,0.0,-17.45
Johnson & Wales (NC) JOHNSON & WALES-CHARLOTTE,0,0.0,0,0.0,0,0.0,1,-34.04,-34.04
Mount Saint Mary (NY) Knights,0,0.0,0,0.0,1,-74.54,0,0.0,-74.54
Franciscan University Barons,0,0.0,0,0.0,0,0.0,1,-30.52,-30.52
Mansfield Mountaineers,0,0.0,0,0.0,0,0.0,1,-37.65,-37.65
Vassar Brewers,0,0.0,0,0.0,0,0.0,1,-13.02,-13.02
Bloomfield Deacons,0,0.0,0,0.0,0,0.0,1,5.77,5.77
Willamette Bearcats,0,0.0,0,0.0,1,-18.5,0,0.0,-18.5
Mid-America Christian Evangels,0,0.0,0,0.0,1,-8.64,0,0.0,-8.64
Northern New Mexico Eagles,1,-34.29,0,0.0,0,0.0,0,0.0,-34.29
Mitchell College Mariners,0,0.0,0,0.0,0,0.0,1,-7.39,-7.39
Angelo State Rams,0,0.0,0,0.0,1,-36.98,0,0.0,-36.98
SUNY Cobleskill Fighting Tigers,0,0.0,0,0.0,1,-48.31,0,0.0,-48.31
SUNY Delhi Broncos,0,0.0,0,0.0,0,0.0,1,-46.3,-46.3
McPherson Mcpherson,0,0.0,0,0.0,0,0.0,1,1.5,1.5
Erskine Flying Fleet,0,0.0,1,-5.11,0,0.0,1,-17.6,-11.36
St. Scholastica Saints,0,0.0,1,-70.61,0,0.0,0,0.0,-70.61
John Jay College Bloodhounds,0,0.0,0,0.0,0,0.0,1,-24.1,-24.1
Humboldt State Lumberjacks,0,0.0,1,-39.37,0,0.0,0,0.0,-39.37
Plattsburgh St Cardinals,0,0.0,1,-25.05,0,0.0,0,0.0,-25.05
Allegheny Gators,0,0.0,0,0.0,0,0.0,1,-45.25,-45.25
Miami (OH)-Hamilton Harriers,0,0.0,0,0.0,1,-20.28,0,0.0,-20.28
St. Francis (IL) Fighting Saints,0,0.0,0,0.0,0,0.0,1,-32.73,-32.73
Bloomsburg Huskies,0,0.0,0,0.0,1,-55.3,0,0.0,-55.3
Western New Mexico Mustangs,0,0.0,0,0.0,0,0.0,1,-23.3,-23.3
York College Nebraska Panthers,0,0.0,0,0.0,1,-31.92,0,0.0,-31.92
Converse University Valkyries,0,0.0,1,-51.35,0,0.0,0,0.0,-51.35
Mobile Rams,0,0.0,0,0.0,1,-40.6,0,0.0,-40.6
Alice Lloyd College Eagles,0,0.0,0,0.0,1,-21.1,0,0.0,-21.1
Albany St (GA) Golden Rams,0,0.0,0,0.0,0,0.0,1,9.63,9.63
Principia College PRINCIPIA,1,-75.24,0,0.0,0,0.0,0,0.0,-75.24
Tiffin Dragons,0,0.0,0,0.0,0,0.0,1,-32.6,-32.6
Lehman College Bridges,0,0.0,0,0.0,0,0.0,1,-47.59,-47.59
Valley Forge Patriots,0,0.0,0,0.0,0,0.0,1,-50.51,-50.51
McKendree Bearcats,0,0.0,0,0.0,1,-52.35,0,0.0,-52.35
Louisiana Christian Wildcats,0,0.0,0,0.0,1,-52.45,0,0.0,-52.45
Science & Arts (OK) Drovers,0,0.0,0,0.0,0,0.0,1,-34.35,-34.35
Rutgers-Camden Scarlet Raptors,0,0.0,0,0.0,0,0.0,1,-24.54,-24.54
Christian Brothers Buccaneers,0,0.0,0,0.0,1,-8.44,0,0.0,-8.44
