Team,AdjRank,TotalGames,TotalWins,Q1_Record,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Record,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Record,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Record,Q4_Games,Q4_WinPct,Q4_NetEff
Gardner-Webb Runnin' Bulldogs,362.0,14,2,0-4,4,0.0,-53.7,0-1,1,0.0,-15.9,0-2,2,0.0,-23.4,2-5,7,0.29,-14.7
Bryant & Stratton (Ohio),999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-55.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Thiel,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-81.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Brandeis,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-28.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Northern State,999.0,1,0,0-1,1,0.0,-32.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Franklin,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-89.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Clinton College,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-79.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Queens University*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-10.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Northwood (MI),999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,4.4
Tarleton State,999.0,10,5,0-1,1,0.0,-51.1,0-3,3,0.0,-23.4,1-0,1,1.0,5.8,4-1,5,0.8,17.2
Utah Valley,999.0,11,7,1-0,1,1.0,16.4,0-1,1,0.0,-15.9,3-1,4,0.75,6.2,3-2,5,0.6,-1.1
Utah Tech,999.0,11,4,0-3,3,0.0,-19.4,0-1,1,0.0,-19.2,1-2,3,0.33,-16.4,3-1,4,0.75,10.7
Texas Southern,999.0,10,0,0-4,4,0.0,-65.5,0-0,0,0.0,0.0,0-2,2,0.0,-13.4,0-4,4,0.0,-12.7
10BYU,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,25.4
1Arizona,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,41.5
New Mexico State,999.0,5,1,1-0,1,1.0,11.9,0-0,0,0.0,0.0,0-2,2,0.0,-15.1,0-2,2,0.0,-10.0
Pepperdine,999.0,8,2,0-1,1,0.0,-60.2,0-1,1,0.0,-6.7,0-1,1,0.0,-7.8,2-3,5,0.4,-1.7
Jarvis Christian,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-67.2,0-1,1,0.0,-51.8
William & Mary*,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,28.9
UTSA*,999.0,2,1,0-0,0,0.0,0.0,1-0,1,1.0,17.4,0-0,0,0.0,0.0,0-1,1,0.0,-17.5
Texas State,999.0,9,5,0-1,1,0.0,-61.1,0-0,0,0.0,0.0,1-2,3,0.33,-12.5,4-1,5,0.8,9.2
Stephen F. Austin,999.0,10,8,0-0,0,0.0,0.0,0-1,1,0.0,-3.6,1-1,2,0.5,14.3,7-0,7,1.0,18.4
Southwestern Adventist,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-98.6,0-2,2,0.0,-75.7
Omaha,999.0,9,2,0-1,1,0.0,-31.0,0-1,1,0.0,-3.4,1-3,4,0.25,-14.4,1-2,3,0.33,1.0
McMurry,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-55.1
Mount St. Mary's,999.0,9,3,0-1,1,0.0,-12.3,0-2,2,0.0,-19.2,2-1,3,0.67,2.3,1-2,3,0.33,-6.4
UAlbany,999.0,10,2,0-3,3,0.0,-32.6,0-3,3,0.0,-32.7,0-1,1,0.0,-45.3,2-1,3,0.67,18.3
Worcester State,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-45.8
High Point,999.0,4,4,0-0,0,0.0,0.0,1-0,1,1.0,2.2,0-0,0,0.0,0.0,3-0,3,1.0,51.9
Iona,999.0,5,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,15.0,2-0,2,1.0,23.5
Stonehill,999.0,11,2,0-2,2,0.0,-53.9,0-1,1,0.0,-2.7,0-3,3,0.0,-14.9,2-3,5,0.4,-6.7
Mercy,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-34.9
Virginia Tech,999.0,11,10,2-0,2,1.0,7.5,1-0,1,1.0,14.4,3-1,4,0.75,11.3,4-0,4,1.0,28.1
Valparaiso,999.0,14,6,1-3,4,0.25,-24.0,0-3,3,0.0,-12.4,0-2,2,0.0,-5.8,5-0,5,1.0,13.7
Johnson & Wales (RI),999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-90.6,0-0,0,0.0,0.0
Providence,999.0,7,5,0-1,1,0.0,-11.9,0-1,1,0.0,-3.2,1-0,1,1.0,33.8,4-0,4,1.0,24.6
Elms College,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-120.9,0-0,0,0.0,0.0
Bryant,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-32.0,0-0,0,0.0,0.0
Rhode Island,999.0,9,4,0-1,1,0.0,-19.9,0-0,0,0.0,0.0,1-2,3,0.33,2.1,3-2,5,0.6,6.7
5UConn,999.0,5,5,0-0,0,0.0,0.0,2-0,2,1.0,10.5,2-0,2,1.0,28.7,1-0,1,1.0,30.9
Wright State,999.0,13,8,0-1,1,0.0,-9.8,0-2,2,0.0,-22.9,0-1,1,0.0,-2.9,8-1,9,0.89,12.8
Virginia*,999.0,3,2,1-0,1,1.0,14.9,1-1,2,0.5,-1.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
South Carolina*,999.0,2,0,0-0,0,0.0,0.0,0-2,2,0.0,-6.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Southern Indiana,999.0,11,1,0-0,0,0.0,0.0,0-3,3,0.0,-25.4,1-2,3,0.33,-13.4,0-5,5,0.0,-13.3
Penn State-Behrend,999.0,1,0,0-1,1,0.0,-47.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Western Michigan,999.0,13,5,0-3,3,0.0,-41.8,1-1,2,0.5,-5.8,0-3,3,0.0,-20.7,4-1,5,0.8,12.5
St. Bonaventure,999.0,9,7,1-0,1,1.0,11.3,2-1,3,0.67,2.3,0-1,1,0.0,-5.8,4-0,4,1.0,19.1
Green Bay,999.0,2,0,0-1,1,0.0,-11.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-36.0
Iowa,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,54.1
Rider,999.0,9,0,0-2,2,0.0,-59.5,0-1,1,0.0,-10.1,0-3,3,0.0,-13.7,0-3,3,0.0,-10.2
Buffalo*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,2.9
14St. John's,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,49.3
Hofstra,999.0,4,3,0-0,0,0.0,0.0,1-1,2,0.5,0.9,0-0,0,0.0,0.0,2-0,2,1.0,13.6
Long Beach State,999.0,5,2,0-2,2,0.0,-22.0,0-0,0,0.0,0.0,0-1,1,0.0,-34.0,2-0,2,1.0,9.2
UC San Diego,999.0,11,7,1-0,1,1.0,13.9,0-1,1,0.0,-8.2,3-0,3,1.0,11.3,3-3,6,0.5,1.5
Idaho,999.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,2.2
Cal State Fullerton,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-3.4
Redlands,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-6.7
Southeast Missouri State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,18.6
Montana,999.0,5,2,0-1,1,0.0,-56.3,0-0,0,0.0,0.0,1-0,1,1.0,9.8,1-2,3,0.33,0.9
Colorado State,999.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,7.5,0-0,0,0.0,0.0,1-0,1,1.0,19.3
Seattle U,999.0,8,3,0-2,2,0.0,-17.4,0-0,0,0.0,0.0,0-2,2,0.0,-14.4,3-1,4,0.75,14.3
Pacific Lutheran,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-31.6
USC,999.0,6,5,1-1,2,0.5,-22.5,0-0,0,0.0,0.0,1-0,1,1.0,0.9,3-0,3,1.0,28.6
St. John's,999.0,5,4,0-0,0,0.0,0.0,1-0,1,1.0,15.0,3-1,4,0.75,16.5,0-0,0,0.0,0.0
Villanova,999.0,13,11,1-1,2,0.5,-15.5,1-0,1,1.0,23.8,5-0,5,1.0,18.4,4-1,5,0.8,21.0
Creighton,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,5.9,0-0,0,0.0,0.0
Northwestern*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-4.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Bethesda University,999.0,6,0,0-1,1,0.0,-95.6,0-0,0,0.0,0.0,0-1,1,0.0,-100.4,0-4,4,0.0,-64.9
Northern Colorado*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,4.4
St. Thomas-Minnesota*,999.0,2,1,0-0,0,0.0,0.0,1-0,1,1.0,1.5,0-0,0,0.0,0.0,0-1,1,0.0,-9.9
Caltech,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-65.9
Nobel,999.0,6,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-51.9,0-5,5,0.0,-57.1
UC Santa Barbara,999.0,11,5,0-0,0,0.0,0.0,0-1,1,0.0,-21.7,0-0,0,0.0,0.0,5-5,10,0.5,4.5
Fresno State,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-4.9
Portland State,999.0,4,2,0-1,1,0.0,-16.3,0-0,0,0.0,0.0,1-0,1,1.0,7.3,1-1,2,0.5,5.8
Western Illinois,999.0,13,1,0-2,2,0.0,-22.1,0-1,1,0.0,-15.9,0-4,4,0.0,-31.9,1-5,6,0.17,-17.6
Whittier,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-90.5,0-0,0,0.0,0.0,0-1,1,0.0,-31.2
California,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,32.0
UC Davis,999.0,13,6,0-2,2,0.0,-15.0,2-0,2,1.0,11.2,1-2,3,0.33,-14.9,3-3,6,0.5,5.2
Cal State Northridge,999.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,7.5
23Virginia,999.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,27.1,1-0,1,1.0,9.8
16Louisville,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,27.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Morgan State,999.0,8,0,0-0,0,0.0,0.0,0-1,1,0.0,-75.8,0-4,4,0.0,-34.8,0-3,3,0.0,-17.6
Northwestern State,999.0,8,1,0-1,1,0.0,-18.0,0-2,2,0.0,-36.6,0-2,2,0.0,-23.4,1-2,3,0.33,-6.0
Dominican (CA),999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-37.2,0-0,0,0.0,0.0,0-1,1,0.0,-30.0
18UCLA*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-11.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Presbyterian,999.0,8,3,0-0,0,0.0,0.0,1-2,3,0.33,-15.9,0-1,1,0.0,-10.7,2-2,4,0.5,-6.3
San Diego*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-19.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
South Carolina Upstate,999.0,9,4,0-2,2,0.0,-21.1,0-1,1,0.0,-18.0,1-0,1,1.0,1.6,3-2,5,0.6,3.2
Stanford,999.0,10,8,1-0,1,1.0,6.0,0-0,0,0.0,0.0,0-2,2,0.0,-10.6,7-0,7,1.0,17.6
La Sierra,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-77.8,0-2,2,0.0,-67.7
Idaho State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,44.4
Idaho*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,19.5
East Texas A&M,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,9.7
Eastern Illinois,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-32.5,0-0,0,0.0,0.0
North Texas,999.0,4,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-14.8,3-0,3,1.0,14.1
25North Carolina,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,18.0,1-0,1,1.0,48.5
Sacred Heart,999.0,13,4,0-1,1,0.0,-6.8,0-1,1,0.0,-16.7,0-4,4,0.0,-19.9,4-3,7,0.57,8.9
Fairfield,999.0,3,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,-10.3,0-1,1,0.0,-6.1
Saint Peter's,999.0,10,6,1-0,1,1.0,14.0,1-0,1,1.0,5.3,0-2,2,0.0,-13.1,4-2,6,0.67,7.6
Allegheny,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-70.6
Monmouth,999.0,7,2,0-0,0,0.0,0.0,0-3,3,0.0,-10.6,0-0,0,0.0,0.0,2-2,4,0.5,4.1
7Gonzaga,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,28.5
UT Arlington*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.3
Weber State,999.0,15,7,0-2,2,0.0,-19.1,1-1,2,0.5,-13.5,0-3,3,0.0,-5.9,6-2,8,0.75,12.4
Mid-Atlantic Christian,999.0,4,0,0-0,0,0.0,0.0,0-1,1,0.0,-55.9,0-1,1,0.0,-81.4,0-2,2,0.0,-58.0
West Virginia,999.0,12,11,0-1,1,0.0,-33.5,0-0,0,0.0,0.0,2-0,2,1.0,10.7,9-0,9,1.0,34.9
Stony Brook,999.0,10,6,0-1,1,0.0,-30.9,0-2,2,0.0,-21.6,3-1,4,0.75,1.7,3-0,3,1.0,22.2
North Central College,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-58.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Washington State,999.0,14,6,0-1,1,0.0,-7.7,0-3,3,0.0,-14.4,1-4,5,0.2,-10.0,5-0,5,1.0,15.2
Liberty*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-14.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
UC San Diego*,999.0,4,4,0-0,0,0.0,0.0,3-0,3,1.0,22.9,0-0,0,0.0,0.0,1-0,1,1.0,21.5
Princeton*,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-49.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
San Francisco,999.0,13,8,0-1,1,0.0,-13.7,0-0,0,0.0,0.0,1-3,4,0.25,-1.8,7-1,8,0.88,19.3
St. Bonaventure*,999.0,4,2,0-1,1,0.0,-20.6,1-0,1,1.0,8.4,0-0,0,0.0,0.0,1-1,2,0.5,2.5
Siena Heights,999.0,2,0,0-1,1,0.0,-100.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-42.2
Chicago State,999.0,2,0,0-1,1,0.0,-33.4,0-1,1,0.0,-44.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Aquinas,999.0,1,0,0-1,1,0.0,-137.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
VMI*,999.0,2,0,0-2,2,0.0,-30.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Bucknell*,999.0,1,0,0-1,1,0.0,-8.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
William & Mary,999.0,13,7,1-3,4,0.25,-13.6,1-1,2,0.5,-1.3,0-2,2,0.0,-11.8,5-0,5,1.0,16.0
Toledo,999.0,9,3,0-2,2,0.0,-24.7,0-0,0,0.0,0.0,0-2,2,0.0,-5.2,3-2,5,0.6,2.8
Wisconsin,999.0,8,6,1-2,3,0.33,-21.4,1-0,1,1.0,11.0,1-0,1,1.0,14.5,3-0,3,1.0,28.6
Olivet,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-26.8
Loyola Chicago,999.0,7,2,0-1,1,0.0,-59.6,0-1,1,0.0,-3.4,0-1,1,0.0,-25.7,2-2,4,0.5,-3.4
Adrian,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-57.3
Marquette,999.0,5,2,0-0,0,0.0,0.0,0-1,1,0.0,-7.2,0-2,2,0.0,-21.6,2-0,2,1.0,31.9
Coppin State*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-32.3
South Alabama*,999.0,3,3,0-0,0,0.0,0.0,1-0,1,1.0,2.9,0-0,0,0.0,0.0,2-0,2,1.0,9.0
Seton Hall,999.0,11,11,0-0,0,0.0,0.0,0-0,0,0.0,0.0,6-0,6,1.0,14.5,5-0,5,1.0,24.3
Quinnipiac,999.0,9,7,1-0,1,1.0,9.0,0-1,1,0.0,-11.0,3-0,3,1.0,16.7,3-1,4,0.75,13.1
Eastern Kentucky,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,9.0
Kansas Christian,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-82.3,0-0,0,0.0,0.0
15Vanderbilt,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,14.2
Illinois State*,999.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,12.9,0-0,0,0.0,0.0
Shaw,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.2,0-0,0,0.0,0.0
Tennessee Tech,999.0,9,2,0-2,2,0.0,-59.6,0-0,0,0.0,0.0,1-2,3,0.33,-1.9,1-3,4,0.25,-11.5
UNC Asheville,999.0,11,3,0-3,3,0.0,-15.8,0-3,3,0.0,-15.3,1-1,2,0.5,-1.4,2-1,3,0.67,7.3
Gardner-Webb,999.0,4,0,0-1,1,0.0,-65.1,0-1,1,0.0,-13.1,0-2,2,0.0,-27.9,0-0,0,0.0,0.0
Furman,999.0,3,3,0-0,0,0.0,0.0,1-0,1,1.0,12.2,2-0,2,1.0,12.9,0-0,0,0.0,0.0
Warren Wilson,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-71.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0
South Carolina,999.0,7,5,1-2,3,0.33,-1.0,0-0,0,0.0,0.0,2-0,2,1.0,21.4,2-0,2,1.0,32.8
Piedmont,999.0,1,0,0-0,0,0.0,0.0,0-1,1,0.0,-12.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Lindenwood*,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,7.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Toccoa Falls,999.0,4,0,0-0,0,0.0,0.0,0-2,2,0.0,-58.9,0-0,0,0.0,0.0,0-2,2,0.0,-68.6
Florida Atlantic*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,23.8,0-0,0,0.0,0.0
Liberty,999.0,7,7,1-0,1,1.0,4.7,0-0,0,0.0,0.0,3-0,3,1.0,13.6,3-0,3,1.0,30.3
Tusculum,999.0,2,0,0-1,1,0.0,-22.3,0-0,0,0.0,0.0,0-1,1,0.0,-33.8,0-0,0,0.0,0.0
Western Carolina,999.0,12,3,0-4,4,0.0,-39.8,0-1,1,0.0,-44.5,1-3,4,0.25,-11.8,2-1,3,0.67,7.3
Wagner,999.0,12,3,0-1,1,0.0,-12.3,0-2,2,0.0,-24.7,0-2,2,0.0,-13.2,3-4,7,0.43,-3.2
Illinois State,999.0,6,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,34.9,5-0,5,1.0,36.8
St. Xavier  (IL),999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-30.3,0-1,1,0.0,-32.3
Youngstown State,999.0,13,5,1-0,1,1.0,11.2,0-1,1,0.0,-17.3,1-4,5,0.2,-11.4,3-3,6,0.5,11.1
Purdue Fort Wayne,999.0,11,6,0-2,2,0.0,-28.7,1-0,1,1.0,3.9,1-1,2,0.5,-12.4,4-2,6,0.67,1.7
VMI,999.0,11,2,0-4,4,0.0,-42.0,0-0,0,0.0,0.0,0-3,3,0.0,-22.1,2-2,4,0.5,1.1
Oakwood,999.0,3,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-3,3,0.0,-68.2,0-0,0,0.0,0.0
Southeast Missouri State,999.0,8,2,0-3,3,0.0,-26.4,0-0,0,0.0,0.0,1-0,1,1.0,5.6,1-3,4,0.25,-3.7
Tennessee Wesleyan,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-70.7,0-0,0,0.0,0.0
Union (KY),999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-71.0,0-0,0,0.0,0.0
North Carolina A&T,999.0,5,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-3,3,0.0,-19.4,2-0,2,1.0,6.9
Richmond*,999.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,3.2,0-0,0,0.0,0.0
Oakland City,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-53.4
Detroit Mercy,999.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-32.8,2-0,2,1.0,14.2
Waynesburg,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-69.4
Radford*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.8
Kent State*,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,8.4
Capital,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-1.5
24SMU,999.0,2,0,0-2,2,0.0,-8.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
West Virginia*,999.0,3,0,0-2,2,0.0,-2.6,0-0,0,0.0,0.0,0-1,1,0.0,-12.3,0-0,0,0.0,0.0
Morehead State,999.0,5,1,0-3,3,0.0,-46.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,6.2
25UCF,999.0,2,1,0-1,1,0.0,-12.1,0-0,0,0.0,0.0,1-0,1,1.0,1.7,0-0,0,0.0,0.0
8Houston,999.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,9.5,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Georgia*,999.0,2,1,0-1,1,0.0,-3.4,1-0,1,1.0,26.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Xavier,999.0,15,9,1-2,3,0.33,-17.6,0-1,1,0.0,-25.6,3-2,5,0.6,2.9,5-1,6,0.83,11.2
6Louisville*,999.0,2,2,1-0,1,1.0,11.4,1-0,1,1.0,13.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Stanford*,999.0,3,3,3-0,3,1.0,5.7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Washington*,999.0,2,1,0-1,1,0.0,-18.3,1-0,1,1.0,22.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0
San Francisco*,999.0,4,2,1-1,2,0.5,1.5,0-1,1,0.0,-30.2,1-0,1,1.0,4.7,0-0,0,0.0,0.0
23Florida,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,41.8
St. John Fisher,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-69.1,0-0,0,0.0,0.0
Fordham*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-16.1,0-0,0,0.0,0.0
SUNY-Oneonta*,999.0,2,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-58.5,0-1,1,0.0,-37.0
UAlbany*,999.0,2,0,0-0,0,0.0,0.0,0-1,1,0.0,-27.0,0-1,1,0.0,-3.0,0-0,0,0.0,0.0
14Illinois,999.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,27.8
Georgia Southern,999.0,5,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,-16.3,2-1,3,0.67,0.8
Saint Joseph's,999.0,9,6,1-0,1,1.0,2.9,0-0,0,0.0,0.0,2-1,3,0.67,3.7,3-2,5,0.6,10.1
North Dakota*,999.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-24.8,0-0,0,0.0,0.0
Oakland,999.0,7,3,0-3,3,0.0,-47.3,1-0,1,1.0,6.7,1-1,2,0.5,1.2,1-0,1,1.0,27.4
Davidson,999.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,5.7,1-0,1,1.0,12.6,0-0,0,0.0,0.0
Bethany (WV),999.0,2,0,0-1,1,0.0,-68.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-50.6
